Graafik
Koostas: mdr Mikk
Kuup�ev: 2023-11-05
Name       Shift       Task
A       0100-0200       Ahi
A       0200-0300       Post
A       0300-0400       Patrull
B       0100-0200       Post
B       0200-0300       Patrull
B       0300-0400       Ahi
B       0400-0500       Post
C       2300-0000       Patrull
C       0000-0100       Ahi
C       0400-0500       Ahi
C       0500-0600       Patrull
D       2200-2300       Post
D       0500-0600       Post
E       2200-2300       Patrull
E       2300-0000       Ahi
E       0000-0100       Post
E       0100-0200       Patrull
F       2200-2300       Ahi
F       2300-0000       Post
F       0000-0100       Patrull
F       0200-0300       Ahi
G       0300-0400       Post
G       0400-0500       Patrull
G       0500-0600       Ahi
