Graafik päeval 2
Koostas: mdr Mikk
Kuupäev: 2023-11-12
Name       Shift       Task
A       2200-2300       Patrull
C       2200-2300       Post
F       2200-2300       Ahi
D       2300-0000       Post
C       2300-0000       Ahi
A       0000-0100       Post
D       0000-0100       Ahi
E       0100-0200       Post
A       0100-0200       Ahi
A       0200-0300       Patrull
G       0200-0300       Post
F       0200-0300       Ahi
E       0300-0400       Patrull
F       0300-0400       Post
G       0300-0400       Ahi
E       0400-0500       Post
B       0400-0500       Ahi
B       0500-0600       Post
E       0500-0600       Ahi
